遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,115000040,2026/02/15,53953450,1079069,14151750,11,13,18,22,34
今彩539,115000041,2026/02/16,68107450,1362149,37126750,05,07,15,18,34
今彩539,115000042,2026/02/17,75479650,1509593,42972950,06,08,11,20,21
今彩539,115000043,2026/02/18,74832100,1496642,51058500,08,10,12,32,33
今彩539,115000044,2026/02/19,72896600,1457932,29415050,08,15,19,25,27
今彩539,115000045,2026/02/20,75361250,1507225,33674450,04,11,22,23,27
今彩539,115000046,2026/02/21,75055250,1501105,49896700,01,08,19,20,25
今彩539,115000047,2026/02/22,63074900,1261498,16349600,08,13,16,24,25
今彩539,115000048,2026/02/23,62761250,1255225,48078350,03,10,12,27,36
今彩539,115000049,2026/02/24,60982200,1219644,24682300,16,23,25,32,36
今彩539,115000050,2026/02/25,60288200,1205764,46480200,05,22,28,35,36
今彩539,115000051,2026/02/26,57747650,1154953,28758900,03,06,09,31,39
今彩539,115000052,2026/02/27,56458000,1129160,43698000,01,22,23,37,39
今彩539,115000053,2026/02/28,54422450,1088449,47837900,02,04,13,26,27
今彩539,115000054,2026/03/01,47866050,957321,43140250,02,08,15,29,31
今彩539,115000055,2026/03/02,56219550,1124391,38115550,03,12,20,21,27
今彩539,115000056,2026/03/03,63167550,1263351,24408950,02,19,21,32,35
今彩539,115000057,2026/03/04,45436900,908738,30224350,04,08,12,16,17
今彩539,115000058,2026/03/05,43087600,861752,11715550,01,04,08,12,36
今彩539,115000059,2026/03/06,43006850,860137,16938750,19,24,29,32,34
今彩539,115000060,2026/03/07,45136350,902727,10344400,15,17,18,34,36
今彩539,115000061,2026/03/09,46860900,937218,11713450,07,12,15,32,38
今彩539,115000062,2026/03/10,39034550,780691,19610400,11,12,14,17,32
今彩539,115000063,2026/03/11,45962650,919253,28188350,05,15,26,37,38
今彩539,115000064,2026/03/12,40955150,819103,11259550,04,05,07,23,35
今彩539,115000065,2026/03/13,41652750,833055,37499850,02,05,11,12,15
今彩539,115000066,2026/03/14,44241650,884833,14978900,08,10,18,20,34
今彩539,115000067,2026/03/16,47529750,950595,20368400,17,19,21,29,34
今彩539,115000068,2026/03/17,39643050,792861,27604700,11,13,19,22,27
今彩539,115000069,2026/03/18,43761450,875229,26067050,21,22,31,32,35
今彩539,115000070,2026/03/19,39520050,790401,20386650,05,23,25,30,37
今彩539,115000071,2026/03/20,44138200,882764,39882550,03,11,15,33,39
今彩539,115000072,2026/03/21,42802950,856059,10715800,07,14,15,19,22
今彩539,115000073,2026/03/23,44174650,883493,29019100,07,12,24,29,35
今彩539,115000074,2026/03/24,38335100,766702,25942650,10,20,28,29,36
今彩539,115000075,2026/03/25,41241100,824822,28224650,03,13,31,33,36
今彩539,115000076,2026/03/26,38028450,760569,9014000,14,17,20,24,37
今彩539,115000077,2026/03/27,37491400,749828,33568200,08,18,24,34,35
今彩539,115000078,2026/03/28,40508400,810168,15331450,06,09,11,16,17
今彩539,115000079,2026/03/30,43179800,863596,11029900,06,08,20,22,32
今彩539,115000080,2026/03/31,37387550,747751,25831250,09,16,23,35,39
