target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000055,2025/07/10,01 02 07 14 28 31,02,23 37 14 07 38 09,02,07 14,2,1,2,1,3,4-2,3-3,3-3,4-2,128,83,31,30,2,2,254.7809,23 37 14,"second_hit,sum_gap_large"
114000056,2025/07/14,03 06 19 22 37 38,04,28 31 02 14 01 07,02,,0,0,1,0,1,3-3,3-3,4-2,3-3,83,125,30,35,2,2,255.7821,28 31 02,"main_zero_hit,second_miss,sum_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,06 03 19 22 37 38,02,06,1,1,2,1,3,3-3,3-3,3-3,3-3,125,85,35,27,2,1,255.7821,06 03 19,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,28 04 25 06 21 01,02,,0,0,0,0,0,3-3,0-6,3-3,2-4,85,146,27,28,1,1,256.7831,28 04 25,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,10 18 36 24 20 38,02,10 38,2,0,3,0,3,0-6,3-3,2-4,4-2,146,95,28,35,1,2,256.7825,10 18 36,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000060,2025/07/28,12 16 18 22 24 36,05,33 10 04 03 07 38,02,,0,0,1,0,1,3-3,0-6,4-2,3-3,95,128,35,24,2,1,256.7824,33 10 04,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000061,2025/07/31,04 09 18 20 29 31,03,16 18 12 36 24 22,02,18,1,0,1,0,1,0-6,3-3,3-3,3-3,128,111,24,27,1,1,256.7836,16 18 12,"main_one_hit,second_miss,odd_even_bias"
114000062,2025/08/04,15 16 22 27 30 32,01,04 18 29 31 09 20,02,,0,0,1,0,1,3-3,2-4,3-3,2-4,111,142,27,17,1,2,256.7821,04 18 29,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000063,2025/08/07,02 04 07 08 18 25,07,32 30 16 27 15 22,02,,0,0,1,0,1,2-4,2-4,2-4,5-1,142,64,17,23,2,2,256.7838,32 30 16,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
114000064,2025/08/11,03 05 09 16 18 19,02,25 02 08 04 18 07,02,18,1,1,2,1,3,2-4,4-2,5-1,6-0,64,70,23,16,2,2,256.7826,25 02 08,"main_one_hit,second_hit,odd_even_bias"
114000065,2025/08/14,01 11 14 17 19 36,03,05 16 19 03 09 18,02,19,1,0,1,0,1,4-2,4-2,6-0,5-1,70,98,16,35,2,1,257.7825,05 16 19,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000066,2025/08/18,02 05 08 17 20 26,06,17 36 11 19 14 01,02,17,1,0,2,0,2,4-2,2-4,5-1,4-2,98,78,35,24,1,1,257.783,17 36 11,"main_one_hit,second_miss,odd_even_bias,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,17 02 05 08 26 20,02,02,1,1,2,1,3,2-4,2-4,4-2,6-0,78,64,24,17,1,2,257.7826,17 02 05,"main_one_hit,second_hit,run_pattern_mismatch,low_high_bias"
114000068,2025/08/25,01 12 14 21 36 37,03,11 19 02 12 16 04,02,12,1,0,1,0,1,2-4,3-3,6-0,3-3,64,121,17,36,2,2,258.7824,11 19 02,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,36 37 14 21 12 01,02,14,1,0,1,0,1,3-3,4-2,3-3,4-2,121,106,36,21,2,2,258.7815,36 37 14,"main_one_hit,second_miss,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,30 13 23 17 09 14,02,,0,0,0,0,0,4-2,2-4,4-2,4-2,106,100,21,27,2,2,258.7839,30 13 23,"main_zero_hit,second_miss,odd_even_bias"
114000071,2025/09/04,06 07 09 11 21 38,08,29 28 02 16 18 07,02,07,1,0,1,0,1,2-4,4-2,4-2,4-2,100,92,27,32,2,2,258.7827,29 28 02,"main_one_hit,second_miss,odd_even_bias"
114000072,2025/09/08,07 08 14 15 25 36,06,06 21 11 09 07 38,02,07,1,0,1,0,1,4-2,3-3,4-2,4-2,92,105,32,29,2,2,258.7809,06 21 11,"main_one_hit,second_miss"
114000073,2025/09/11,11 18 21 27 31 35,06,25 08 15 36 14 07,02,,0,0,1,0,1,3-3,5-1,4-2,2-4,105,143,29,24,2,1,258.7821,25 08 15,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,35 27 31 21 11 18,02,,0,1,0,1,1,5-1,1-5,2-4,2-4,143,145,24,34,1,2,258.7825,35 27 31,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias,spread_gap_large"
114000075,2025/09/18,10 20 25 28 32 36,02,34 33 16 04 20 38,02,20,1,1,1,1,2,1-5,1-5,2-4,1-5,145,151,34,26,2,1,259.7819,34 33 16,"main_one_hit,second_hit,run_pattern_mismatch"
114000076,2025/09/22,10 11 14 22 31 33,02,32 10 28 25 36 20,02,10,1,1,2,1,3,1-5,3-3,1-5,3-3,151,121,26,23,1,2,260.7836,32 10 28,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000077,2025/09/25,08 12 14 24 28 35,03,33 10 31 22 11 14,02,14,1,0,2,0,2,3-3,1-5,3-3,3-3,121,121,23,27,2,1,261.7824,33 10 31,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000078,2025/09/29,12 16 17 20 27 36,03,35 08 24 28 12 14,02,12,1,0,1,0,1,1-5,2-4,3-3,3-3,121,128,27,24,1,2,261.7834,35 08 24,"main_one_hit,second_miss,run_pattern_mismatch"
114000079,2025/10/02,03 05 12 24 27 30,07,17 12 27 16 36 20,02,12 27,2,0,3,0,3,2-4,3-3,3-3,3-3,128,101,24,27,2,1,261.7817,17 12 27,"second_miss,run_pattern_mismatch,sum_gap_large"
114000080,2025/10/06,05 06 09 14 15 37,05,05 30 24 12 27 03,02,05,1,0,1,0,1,3-3,4-2,3-3,5-1,101,86,27,32,1,2,261.7834,05 30 24,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,05 37 06 09 15 14,02,06,1,0,1,0,1,4-2,3-3,5-1,3-3,86,107,32,34,2,2,261.7827,05 37 06,"main_one_hit,second_miss,low_high_bias"
114000082,2025/10/13,04 06 08 18 24 28,01,34 35 06 01 11 20,02,06,1,0,1,0,1,3-3,0-6,3-3,4-2,107,88,34,24,2,1,261.7832,34 35 06,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
114000083,2025/10/16,08 09 13 16 26 35,02,08 28 06 24 04 18,02,08,1,1,2,1,3,0-6,3-3,4-2,4-2,88,107,24,27,1,2,261.7816,08 28 06,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias"
114000084,2025/10/20,08 12 19 22 24 32,05,13 26 35 09 08 16,02,08,1,0,2,0,2,3-3,1-5,4-2,3-3,107,117,27,24,2,1,262.7836,13 26 35,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000085,2025/10/23,05 09 11 21 32 35,08,32 19 22 12 24 08,02,32,1,0,1,0,1,1-5,5-1,3-3,3-3,117,113,24,30,1,1,262.7824,32 19 22,"main_one_hit,second_miss,odd_even_bias"
114000086,2025/10/27,01 11 16 20 27 36,06,32 05 21 35 09 11,02,11,1,0,1,0,1,5-1,3-3,3-3,3-3,113,111,30,35,1,1,262.7835,32 05 21,"main_one_hit,second_miss,odd_even_bias"
114000087,2025/10/30,13 14 17 20 21 24,02,27 01 11 36 20 16,02,20,1,1,1,1,2,3-3,3-3,3-3,3-3,111,109,35,11,1,2,262.7806,27 01 11,"main_one_hit,second_hit,run_pattern_mismatch,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,13 21 17 24 14 20,02,20,1,0,1,0,1,3-3,1-5,3-3,2-4,109,139,11,31,2,1,263.7816,13 21 17,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000089,2025/11/06,11 18 20 25 29 37,08,30 32 35 18 04 20,02,18 20,2,0,2,0,2,1-5,4-2,2-4,2-4,139,140,31,26,1,1,263.7817,30 32 35,"second_miss,odd_even_bias"
114000090,2025/11/10,06 12 28 29 31 32,04,37 29 25 18 11 20,02,29,1,0,2,0,2,4-2,2-4,2-4,2-4,140,138,26,26,1,2,263.7817,37 29 25,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000091,2025/11/13,02 09 11 15 26 34,04,31 29 28 32 06 12,02,,0,0,0,0,0,2-4,3-3,2-4,4-2,138,97,26,32,2,1,263.7833,31 29 28,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000092,2025/11/17,17 18 19 28 34 36,06,34 26 02 15 09 11,02,34,1,0,2,0,2,3-3,2-4,4-2,3-3,97,152,32,19,1,3,263.7833,34 26 02,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,34 28 19 17 36 26,02,17,1,0,1,0,1,2-4,4-2,2-4,3-3,160,114,19,32,1,1,263.7496,34 28 19,"main_one_hit,second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
114000094,2025/11/24,07 09 19 20 33 34,07,31 03 35 17 08 20,02,20,1,0,2,0,2,4-2,4-2,3-3,3-3,114,122,32,27,1,2,263.7815,31 03 35,"main_one_hit,second_miss,run_pattern_mismatch"
114000095,2025/11/27,04 09 16 26 33 35,02,33 34 07 09 19 20,02,09 33,2,1,2,1,3,4-2,3-3,3-3,3-3,122,123,27,31,2,1,263.7828,33 34 07,"second_hit,run_pattern_mismatch"
114000096,2025/12/01,05 07 08 11 32 37,02,33 26 04 09 16 35,02,,0,1,1,1,2,3-3,4-2,3-3,4-2,123,100,31,32,1,2,264.7823,33 26 04,"main_zero_hit,second_hit,run_pattern_mismatch"
114000097,2025/12/04,03 06 07 10 29 33,01,05 37 32 07 08 11,02,07,1,0,2,0,2,4-2,4-2,4-2,4-2,100,88,32,30,2,2,265.7824,05 37 32,"main_one_hit,second_miss"
114000098,2025/12/08,05 14 15 20 32 37,02,10 33 03 29 06 07,02,,0,1,1,1,2,4-2,3-3,4-2,3-3,88,123,30,32,2,2,265.7834,10 33 03,"main_zero_hit,second_hit,sum_gap_large"
114000099,2025/12/11,05 06 11 15 22 37,07,05 37 15 32 14 20,02,05 15 37,3,0,4,0,4,3-3,4-2,3-3,4-2,123,96,32,32,2,2,266.7818,05 37 15,"main_good_hit,second_miss,sum_gap_large"
114000100,2025/12/15,19 26 28 31 32 34,06,22 05 37 15 06 11,02,,0,0,1,0,1,4-2,2-4,4-2,1-5,96,170,32,15,2,2,266.782,22 05 37,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,19 26 34 31 28 32,02,,0,0,1,0,1,2-4,4-2,1-5,3-3,170,126,15,29,2,2,266.7831,19 26 34,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000102,2025/12/22,05 16 21 25 32 34,08,21 29 37 16 15 08,02,16 21,2,0,3,0,3,4-2,3-3,3-3,2-4,126,133,29,29,2,1,266.7822,21 29 37,"second_miss,run_pattern_mismatch"
114000103,2025/12/25,06 12 21 22 28 34,08,25 21 34 05 16 32,02,21 34,2,0,2,0,2,3-3,1-5,2-4,2-4,133,123,29,28,1,2,266.7824,25 21 34,"second_miss,run_pattern_mismatch,odd_even_bias"
114000104,2025/12/29,01 03 09 11 18 32,06,21 22 12 28 34 06,02,,0,0,0,0,0,1-5,4-2,2-4,5-1,123,74,28,31,2,1,266.7823,21 22 12,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,01 18 09 03 32 11,02,,0,0,1,0,1,4-2,4-2,5-1,2-4,74,132,31,28,1,2,266.7821,01 18 09,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000002,2026/01/05,11 14 19 25 34 37,04,23 07 31 22 14 35,02,14,1,0,1,0,1,4-2,4-2,2-4,3-3,132,140,28,26,2,1,266.7832,23 07 31,"main_one_hit,second_miss,run_pattern_mismatch"
115000003,2026/01/08,07 17 25 26 27 33,03,25 19 34 14 37 11,02,25,1,0,1,0,1,4-2,5-1,3-3,2-4,140,135,26,26,1,3,266.7817,25 19 34,"main_one_hit,second_miss,run_pattern_mismatch"
115000004,2026/01/12,01 09 14 17 33 38,03,33 27 25 17 07 19,02,17 33,2,0,3,0,3,6-0,4-2,3-3,4-2,128,112,26,37,1,2,266.75,33 27 25,"second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000005,2026/01/15,08 10 16 26 31 38,05,38 33 01 17 09 14,02,38,1,0,1,0,1,4-2,1-5,4-2,3-3,112,129,37,30,2,1,266.7835,38 33 01,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000006,2026/01/19,10 16 20 23 35 37,05,10 38 31 26 16 08,02,10 16,2,0,2,0,2,1-5,3-3,3-3,2-4,129,141,30,27,1,1,266.7831,10 38 31,"second_miss,odd_even_bias"
115000007,2026/01/22,11 17 29 30 34 35,06,23 10 37 16 35 20,02,35,1,0,1,0,1,3-3,4-2,2-4,2-4,141,156,27,24,1,2,266.782,23 10 37,"main_one_hit,second_miss,run_pattern_mismatch"
115000008,2026/01/26,03 08 12 26 32 38,04,30 29 17 34 35 11,02,,0,0,0,0,0,4-2,1-5,2-4,3-3,156,119,24,35,2,1,266.7821,30 29 17,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
