target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000065,2025/08/14,01 11 14 17 19 36,03,02 05 09 16 18 19,02,19,1,0,1,0,1,3-3,4-2,6-0,5-1,69,98,17,35,2,1,257.7554,09 05 18,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000066,2025/08/18,02 05 08 17 20 26,06,01 09 11 17 19 36,02,17,1,0,2,0,2,5-1,2-4,5-1,4-2,93,78,35,24,1,1,257.755,11 36 17,"main_one_hit,second_miss,odd_even_bias,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,02 05 08 11 17 20,02,02 11,2,1,2,1,3,3-3,2-4,5-1,6-0,63,64,18,17,1,2,257.7552,05 02 20,"second_hit,run_pattern_mismatch"
114000068,2025/08/25,01 12 14 21 36 37,03,02 05 11 12 16 19,02,12,1,0,1,0,1,3-3,3-3,6-0,3-3,65,121,17,36,2,2,258.7551,02 11 12,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,01 02 12 21 36 37,02,,0,0,1,0,1,3-3,4-2,3-3,4-2,109,106,36,21,2,2,258.755,21 12 36,"main_zero_hit,second_miss,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,09 13 17 21 23 30,02,,0,0,0,0,0,5-1,2-4,3-3,4-2,113,100,21,27,1,2,258.7553,09 30 13,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000071,2025/09/04,06 07 09 11 21 38,08,02 09 16 18 28 29,02,09,1,0,2,0,2,2-4,4-2,4-2,4-2,102,92,27,32,2,2,258.7553,02 28 18,"main_one_hit,second_miss,odd_even_bias"
114000072,2025/09/08,07 08 14 15 25 36,06,02 06 07 09 11 21,02,07,1,0,1,0,1,4-2,3-3,5-1,4-2,56,105,19,29,2,2,258.7552,09 21 11,"main_one_hit,second_miss,sum_gap_large,spread_gap_large"
114000073,2025/09/11,11 18 21 27 31 35,06,08 09 14 15 25 36,02,,0,0,1,0,1,3-3,5-1,4-2,2-4,107,143,28,24,2,1,258.7549,36 25 08,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,11 18 21 31 35 36,02,,0,1,0,1,1,4-2,1-5,2-4,2-4,152,145,25,34,2,2,258.7551,21 18 35,"main_zero_hit,second_hit,odd_even_bias"
114000075,2025/09/18,10 20 25 28 32 36,02,04 16 20 21 33 34,02,20,1,1,1,1,2,2-4,1-5,2-4,1-5,128,151,30,26,2,1,259.755,34 33 20,"main_one_hit,second_hit,run_pattern_mismatch"
114000076,2025/09/22,10 11 14 22 31 33,02,20 25 28 32 34 36,02,,0,1,2,1,3,1-5,3-3,0-6,3-3,175,121,16,23,1,2,260.7554,32 28 20,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000077,2025/09/25,08 12 14 24 28 35,03,10 11 22 28 31 33,02,28,1,0,2,0,2,3-3,1-5,2-4,3-3,135,121,23,27,2,1,261.755,33 11 31,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000078,2025/09/29,12 16 17 20 27 36,03,08 12 14 28 33 35,02,12,1,0,1,0,1,2-4,2-4,3-3,3-3,130,128,27,24,1,2,261.755,28 35 12,"main_one_hit,second_miss,run_pattern_mismatch"
114000079,2025/10/02,03 05 12 24 27 30,07,12 17 20 27 28 36,02,12 27,2,0,2,0,2,2-4,3-3,2-4,3-3,140,101,24,27,2,1,261.755,12 27 20,"second_miss,run_pattern_mismatch,sum_gap_large"
114000080,2025/10/06,05 06 09 14 15 37,05,03 05 12 20 27 30,02,05,1,0,1,0,1,3-3,4-2,3-3,5-1,97,86,27,32,1,2,261.7549,05 30 12,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,05 06 09 14 30 37,02,06,1,0,1,0,1,3-3,3-3,4-2,3-3,101,107,32,34,2,2,261.7553,09 05 37,"main_one_hit,second_miss"
114000082,2025/10/13,04 06 08 18 24 28,01,06 09 11 20 34 35,02,06,1,0,1,0,1,3-3,0-6,3-3,4-2,115,88,29,24,2,1,261.7554,34 35 11,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000083,2025/10/16,08 09 13 16 26 35,02,04 06 08 18 28 34,02,08,1,1,2,1,3,0-6,3-3,4-2,4-2,98,107,30,27,1,2,261.755,28 18 06,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias"
114000084,2025/10/20,08 12 19 22 24 32,05,08 09 13 26 28 35,02,08,1,0,1,0,1,3-3,1-5,3-3,3-3,119,117,27,24,2,1,262.7552,09 13 35,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000085,2025/10/23,05 09 11 21 32 35,08,08 09 12 19 22 32,02,09 32,2,0,2,0,2,2-4,5-1,4-2,3-3,102,113,24,30,2,1,262.7552,32 12 08,"second_miss,run_pattern_mismatch,odd_even_bias"
114000086,2025/10/27,01 11 16 20 27 36,06,05 09 12 21 32 35,02,,0,0,1,0,1,4-2,3-3,3-3,3-3,114,111,30,35,1,1,262.7557,09 32 05,"main_zero_hit,second_miss"
114000087,2025/10/30,13 14 17 20 21 24,02,01 09 11 20 27 36,02,20,1,1,1,1,2,4-2,3-3,3-3,3-3,104,109,35,11,1,2,262.7551,11 27 36,"main_one_hit,second_hit,run_pattern_mismatch,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,11 13 14 17 20 21,02,20,1,0,1,0,1,4-2,1-5,4-2,2-4,96,139,10,31,2,1,263.7549,21 13 17,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000089,2025/11/06,11 18 20 25 29 37,08,18 20 21 30 32 35,02,18 20,2,0,2,0,2,2-4,4-2,1-5,2-4,156,140,17,26,2,1,263.7553,32 30 18,"second_miss,run_pattern_mismatch,odd_even_bias"
114000090,2025/11/10,06 12 28 29 31 32,04,11 18 20 25 32 37,02,32,1,0,2,0,2,3-3,2-4,2-4,2-4,143,138,26,26,1,2,263.7551,18 11 37,"main_one_hit,second_miss,run_pattern_mismatch"
114000091,2025/11/13,02 09 11 15 26 34,04,06 12 18 28 31 32,02,,0,0,1,0,1,1-5,3-3,3-3,4-2,127,97,26,32,2,1,263.7552,32 28 31,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000092,2025/11/17,17 18 19 28 34 36,06,02 09 11 26 32 34,02,34,1,0,2,0,2,2-4,2-4,3-3,3-3,114,152,32,19,1,3,263.7557,09 34 02,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,09 17 18 28 34 36,02,17,1,0,1,0,1,2-4,4-2,3-3,3-3,142,114,27,32,2,1,263.7556,34 28 18,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000094,2025/11/24,07 09 19 20 33 34,07,08 17 20 31 34 35,02,20 34,2,0,2,0,2,3-3,4-2,2-4,3-3,145,122,27,27,2,2,263.7551,35 31 17,second_miss
114000095,2025/11/27,04 09 16 26 33 35,02,09 19 20 31 33 34,02,09 33,2,1,2,1,3,4-2,3-3,2-4,3-3,146,123,25,31,2,1,263.7555,09 34 33,"second_hit,run_pattern_mismatch"
114000096,2025/12/01,05 07 08 11 32 37,02,04 09 16 26 33 34,02,,0,1,1,1,2,2-4,4-2,3-3,4-2,122,100,30,32,2,2,264.7552,09 33 26,"main_zero_hit,second_hit,odd_even_bias"
114000097,2025/12/04,03 06 07 10 29 33,01,05 08 09 11 32 37,02,,0,0,2,0,2,4-2,4-2,4-2,4-2,102,88,32,30,2,2,265.7556,05 32 11,"main_zero_hit,second_miss"
114000098,2025/12/08,05 14 15 20 32 37,02,06 07 10 29 32 33,02,32,1,1,1,1,2,3-3,3-3,3-3,3-3,117,123,27,32,2,2,265.755,33 06 10,"main_one_hit,second_hit"
114000099,2025/12/11,05 06 11 15 22 37,07,05 14 20 32 33 37,02,05 37,2,0,4,0,4,3-3,4-2,2-4,4-2,141,96,32,32,2,2,266.7553,05 32 37,"second_miss,low_high_bias,sum_gap_large"
114000100,2025/12/15,19 26 28 31 32 34,06,05 06 11 22 32 37,02,32,1,0,1,0,1,3-3,2-4,3-3,1-5,113,170,32,15,2,2,266.7551,05 11 37,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,05 19 28 31 32 34,02,,0,0,0,0,0,3-3,4-2,2-4,3-3,149,126,29,29,2,2,266.7557,34 32 28,"main_zero_hit,second_miss"
114000102,2025/12/22,05 16 21 25 32 34,08,08 16 21 29 34 37,02,16 21 34,3,0,3,0,3,3-3,3-3,2-4,2-4,145,133,29,29,1,1,266.7549,21 37 29,"main_good_hit,second_miss"
114000103,2025/12/25,06 12 21 22 28 34,08,05 21 25 32 34 37,02,21 34,2,0,2,0,2,4-2,1-5,1-5,2-4,154,123,32,28,1,2,266.7556,34 05 32,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000104,2025/12/29,01 03 09 11 18 32,06,05 06 12 21 28 34,02,,0,0,1,0,1,2-4,4-2,3-3,5-1,106,74,29,31,2,1,266.7556,34 28 21,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,01 09 11 18 32 34,02,,0,0,0,0,0,3-3,4-2,4-2,2-4,105,132,33,28,1,2,266.7557,09 32 18,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000002,2026/01/05,11 14 19 25 34 37,04,07 09 22 23 31 35,02,,0,0,1,0,1,5-1,4-2,2-4,3-3,127,140,28,26,2,1,266.7551,23 35 31,"main_zero_hit,second_miss,run_pattern_mismatch"
115000003,2026/01/08,07 17 25 26 27 33,03,11 19 23 25 34 37,02,25,1,0,1,0,1,5-1,5-1,2-4,2-4,149,135,26,26,1,3,266.755,34 11 25,"main_one_hit,second_miss,run_pattern_mismatch"
115000004,2026/01/12,01 09 14 17 33 38,03,07 17 25 27 33 34,02,17 33,2,0,2,0,2,5-1,4-2,2-4,4-2,143,112,27,37,2,2,266.7551,33 27 17,"second_miss,low_high_bias,sum_gap_large,spread_gap_large"
115000005,2026/01/15,08 10 16 26 31 38,05,01 09 14 17 27 33,02,,0,0,1,0,1,5-1,1-5,4-2,3-3,101,129,32,30,1,1,266.7552,09 33 17,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000006,2026/01/19,10 16 20 23 35 37,05,09 10 16 26 31 38,02,10 16,2,0,2,0,2,2-4,3-3,3-3,2-4,130,141,29,27,2,1,266.7548,31 10 26,"second_miss,run_pattern_mismatch"
115000007,2026/01/22,11 17 29 30 34 35,06,10 20 23 31 35 37,02,35,1,0,1,0,1,4-2,4-2,1-5,2-4,156,156,27,24,1,2,266.7549,23 35 20,"main_one_hit,second_miss,run_pattern_mismatch"
115000008,2026/01/26,03 08 12 26 32 38,04,11 17 23 30 34 35,02,,0,0,0,0,0,4-2,1-5,2-4,3-3,150,119,24,35,2,1,266.7553,34 30 35,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000009,2026/01/29,05 10 15 17 23 25,05,08 12 26 32 34 38,02,,0,0,0,0,0,0-6,5-1,2-4,4-2,150,95,30,20,1,1,266.755,32 12 08,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,05 10 17 23 25 32,02,,0,0,1,0,1,4-2,4-2,3-3,4-2,112,98,27,28,1,2,266.7553,05 23 17,"main_zero_hit,second_miss,run_pattern_mismatch"
