target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000065,2025/08/14,01 11 14 17 19 36,03,11 13 17 26 34 35,02,11 17,2,0,3,0,3,4-2,4-2,3-3,5-1,136,98,24,35,2,1,272.1413,17 34 35,"second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000066,2025/08/18,02 05 08 17 20 26,06,13 23 26 34 35 37,02,26,1,0,1,0,1,4-2,2-4,1-5,4-2,168,78,24,24,2,1,271.529,34 35 13,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,06 13 23 34 35 37,02,,0,1,0,1,1,4-2,2-4,2-4,6-0,148,64,31,17,2,2,271.4432,34 35 13,"main_zero_hit,second_hit,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,06 13 23 34 35 37,02,37,1,0,2,0,2,4-2,3-3,2-4,3-3,148,121,31,36,2,2,272.8374,34 35 13,"main_one_hit,second_miss,sum_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,06 13 23 28 34 35,02,13 23,2,0,2,0,2,3-3,4-2,2-4,4-2,139,106,29,21,2,2,273.125,34 35 13,"second_miss,low_high_bias,sum_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,06 10 28 34 35 38,02,28,1,0,2,0,2,1-5,2-4,2-4,4-2,151,100,32,27,2,2,272.3634,34 35 06,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000071,2025/09/04,06 07 09 11 21 38,08,06 10 24 34 35 38,02,06 38,2,0,2,0,2,1-5,4-2,2-4,4-2,147,92,32,32,2,2,272.523,34 35 06,"second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000072,2025/09/08,07 08 14 15 25 36,06,10 15 24 31 34 35,02,15,1,0,1,0,1,3-3,3-3,2-4,4-2,149,105,25,29,2,2,272.342,34 35 10,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000073,2025/09/11,11 18 21 27 31 35,06,10 22 24 31 34 35,02,31 35,2,0,3,0,3,2-4,5-1,1-5,2-4,156,143,25,24,2,1,272.7512,34 35 10,"second_miss,run_pattern_mismatch,odd_even_bias"
114000074,2025/09/15,04 16 20 33 34 38,02,03 10 22 24 33 34,02,33 34,2,1,3,1,4,2-4,1-5,2-4,2-4,126,145,31,34,2,2,272.2099,34 10 33,second_hit
114000075,2025/09/18,10 20 25 28 32 36,02,03 05 10 22 24 32,02,10 32,2,1,2,1,3,2-4,1-5,3-3,1-5,96,151,29,26,1,1,272.2057,10 24 22,"second_hit,low_high_bias,sum_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,03 05 19 22 24 26,02,22,1,1,1,1,2,3-3,3-3,3-3,3-3,99,121,23,23,1,2,272.6989,24 22 03,"main_one_hit,second_hit,run_pattern_mismatch"
114000077,2025/09/25,08 12 14 24 28 35,03,01 03 05 19 24 26,02,24,1,0,2,0,2,4-2,1-5,4-2,3-3,78,121,25,27,1,1,273.6938,24 03 05,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000078,2025/09/29,12 16 17 20 27 36,03,01 03 05 19 26 37,02,,0,0,1,0,1,5-1,2-4,4-2,3-3,91,128,36,24,1,2,273.6119,03 05 26,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000079,2025/10/02,03 05 12 24 27 30,07,01 03 05 19 26 37,02,03 05,2,0,3,0,3,5-1,3-3,4-2,3-3,91,101,36,27,1,1,274.1186,03 05 26,"second_miss,odd_even_bias"
114000080,2025/10/06,05 06 09 14 15 37,05,01 13 19 23 26 37,02,37,1,0,1,0,1,5-1,4-2,3-3,5-1,119,86,36,32,1,2,273.9696,26 19 01,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000081,2025/10/09,01 06 11 20 34 35,08,01 02 13 19 23 26,02,01,1,0,1,0,1,4-2,3-3,4-2,3-3,84,107,25,34,2,2,274.2798,26 19 01,"main_one_hit,second_miss"
114000082,2025/10/13,04 06 08 18 24 28,01,02 13 19 23 26 29,02,,0,0,1,0,1,4-2,0-6,3-3,4-2,112,88,27,24,1,1,274.5804,26 19 13,"main_zero_hit,second_miss,odd_even_bias"
114000083,2025/10/16,08 09 13 16 26 35,02,02 13 19 23 26 29,02,13 26,2,1,2,1,3,4-2,3-3,3-3,4-2,112,107,27,27,1,2,275.0138,26 19 13,"second_hit,run_pattern_mismatch"
114000084,2025/10/20,08 12 19 22 24 32,05,02 07 19 21 23 29,02,19,1,0,2,0,2,5-1,1-5,3-3,3-3,101,117,27,24,1,1,275.7022,19 23 02,"main_one_hit,second_miss,odd_even_bias"
114000085,2025/10/23,05 09 11 21 32 35,08,02 07 21 23 29 38,02,21,1,0,1,0,1,4-2,5-1,2-4,3-3,120,113,36,30,1,1,275.6364,23 02 29,"main_one_hit,second_miss"
114000086,2025/10/27,01 11 16 20 27 36,06,02 07 23 25 29 38,02,,0,0,0,0,0,4-2,3-3,2-4,3-3,124,111,36,35,1,1,275.9003,23 02 29,"main_zero_hit,second_miss"
114000087,2025/10/30,13 14 17 20 21 24,02,02 07 23 25 29 38,02,,0,1,0,1,1,4-2,3-3,2-4,3-3,124,109,36,11,1,2,276.3147,23 02 29,"main_zero_hit,second_hit,run_pattern_mismatch,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,02 07 23 25 29 38,02,,0,0,0,0,0,4-2,1-5,2-4,2-4,124,139,36,31,1,1,277.7018,23 02 29,"main_zero_hit,second_miss,odd_even_bias"
114000089,2025/11/06,11 18 20 25 29 37,08,02 07 23 25 29 38,02,25 29,2,0,2,0,2,4-2,4-2,2-4,2-4,124,140,36,26,1,1,278.0649,23 02 29,"second_miss,spread_gap_large"
114000090,2025/11/10,06 12 28 29 31 32,04,02 07 10 23 31 38,02,31,1,0,1,0,1,3-3,2-4,3-3,2-4,111,138,36,26,1,2,277.9813,23 02 07,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000091,2025/11/13,02 09 11 15 26 34,04,02 07 10 23 33 38,02,02,1,0,2,0,2,3-3,3-3,3-3,4-2,113,97,36,32,1,1,278.3293,23 02 07,"main_one_hit,second_miss"
114000092,2025/11/17,17 18 19 28 34 36,06,03 07 10 23 33 38,02,,0,0,1,0,1,4-2,2-4,3-3,3-3,114,152,35,19,1,3,278.1317,23 07 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,03 07 10 23 33 38,02,03,1,0,2,0,2,4-2,4-2,3-3,3-3,114,114,35,32,1,1,278.4725,23 07 38,"main_one_hit,second_miss"
114000094,2025/11/24,07 09 19 20 33 34,07,07 10 22 23 33 38,02,07 33,2,0,2,0,2,3-3,4-2,2-4,3-3,133,122,31,27,2,2,278.389,23 07 38,second_miss
114000095,2025/11/27,04 09 16 26 33 35,02,01 05 10 22 23 38,02,,0,1,1,1,2,3-3,3-3,3-3,3-3,99,123,37,31,2,1,277.1448,23 38 10,"main_zero_hit,second_hit,run_pattern_mismatch"
114000096,2025/12/01,05 07 08 11 32 37,02,01 05 10 22 23 38,02,05,1,1,1,1,2,3-3,4-2,3-3,4-2,99,100,37,32,2,2,278.568,23 38 10,"main_one_hit,second_hit"
114000097,2025/12/04,03 06 07 10 29 33,01,01 10 22 23 27 38,02,10,1,0,1,0,1,3-3,4-2,2-4,4-2,121,88,37,30,2,2,279.873,23 38 10,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000098,2025/12/08,05 14 15 20 32 37,02,01 13 22 23 27 38,02,,0,1,1,1,2,4-2,3-3,2-4,3-3,124,123,37,32,2,2,279.5521,23 38 22,"main_zero_hit,second_hit"
114000099,2025/12/11,05 06 11 15 22 37,07,01 13 22 23 27 38,02,22,1,0,1,0,1,4-2,4-2,2-4,4-2,124,96,37,32,2,2,280.9429,23 38 22,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000100,2025/12/15,19 26 28 31 32 34,06,01 13 21 23 27 38,02,,0,0,0,0,0,5-1,2-4,2-4,1-5,123,170,37,15,2,2,281.1001,23 38 01,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,01 13 21 23 27 38,02,21,1,0,1,0,1,5-1,4-2,2-4,3-3,123,126,37,29,2,2,281.4558,23 38 01,"main_one_hit,second_miss"
114000102,2025/12/22,05 16 21 25 32 34,08,01 13 23 24 27 38,02,,0,0,1,0,1,4-2,3-3,2-4,2-4,126,133,37,29,2,1,281.79,23 38 01,"main_zero_hit,second_miss,run_pattern_mismatch"
114000103,2025/12/25,06 12 21 22 28 34,08,01 13 23 24 27 38,02,,0,0,1,0,1,4-2,1-5,2-4,2-4,126,123,37,28,2,2,282.1053,23 38 01,"main_zero_hit,second_miss,odd_even_bias"
114000104,2025/12/29,01 03 09 11 18 32,06,01 13 23 24 27 38,02,01,1,0,1,0,1,4-2,4-2,2-4,5-1,126,74,37,31,2,1,282.4037,23 38 01,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,13 23 24 27 30 38,02,23,1,0,1,0,1,3-3,4-2,1-5,2-4,155,132,25,28,2,2,282.5759,23 38 27,"main_one_hit,second_miss"
115000002,2026/01/05,11 14 19 25 34 37,04,02 13 24 27 30 38,02,,0,0,0,0,0,2-4,4-2,2-4,3-3,134,140,36,26,1,1,281.9488,38 27 13,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
115000003,2026/01/08,07 17 25 26 27 33,03,02 13 24 27 30 38,02,27,1,0,2,0,2,2-4,5-1,2-4,2-4,134,135,36,26,1,3,282.2495,38 27 13,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000004,2026/01/12,01 09 14 17 33 38,03,02 13 24 30 36 38,02,38,1,0,1,0,1,1-5,4-2,2-4,4-2,143,112,36,37,1,2,282.2169,38 13 24,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000005,2026/01/15,08 10 16 26 31 38,05,02 04 13 24 30 36,02,,0,0,1,0,1,1-5,1-5,3-3,3-3,109,129,34,30,1,1,281.5892,13 24 30,"main_zero_hit,second_miss"
115000006,2026/01/19,10 16 20 23 35 37,05,02 04 13 24 30 36,02,,0,0,1,0,1,1-5,3-3,3-3,2-4,109,141,34,27,1,1,281.9049,13 24 30,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000007,2026/01/22,11 17 29 30 34 35,06,02 04 13 24 30 36,02,30,1,0,2,0,2,1-5,4-2,3-3,2-4,109,156,34,24,1,2,282.2044,13 24 30,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000008,2026/01/26,03 08 12 26 32 38,04,02 04 13 15 24 36,02,,0,0,1,0,1,2-4,1-5,4-2,3-3,94,119,34,35,1,1,281.7091,13 24 02,"main_zero_hit,second_miss,sum_gap_large"
115000009,2026/01/29,05 10 15 17 23 25,05,02 04 13 15 24 36,02,15,1,0,1,0,1,2-4,5-1,4-2,4-2,94,95,34,20,1,1,282.027,13 24 02,"main_one_hit,second_miss,odd_even_bias,spread_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,02 04 06 13 24 36,02,,0,0,0,0,0,1-5,4-2,4-2,4-2,85,98,34,28,1,2,282.1605,13 24 02,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000011,2026/02/05,07 22 28 34 36 37,07,02 04 06 13 24 36,02,36,1,0,2,0,2,1-5,2-4,4-2,1-5,85,164,34,30,1,2,282.4586,13 24 02,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,02 04 06 13 21 24,02,13,1,1,1,1,2,2-4,3-3,4-2,3-3,70,147,22,24,1,2,282.1279,13 24 02,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large"
115000013,2026/02/12,06 10 22 25 32 35,03,02 04 06 18 21 24,02,06,1,0,1,0,1,1-5,2-4,4-2,2-4,75,130,22,29,1,1,282.5934,24 02 04,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
115000014,2026/02/16,02 06 19 33 36 38,03,02 04 18 19 21 24,02,02 19,2,0,2,0,2,2-4,2-4,4-2,3-3,88,134,22,36,2,1,282.6973,24 02 04,"second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
115000015,2026/02/19,02 03 06 12 23 27,04,04 09 18 21 24 31,02,,0,0,0,0,0,3-3,3-3,3-3,4-2,107,73,27,25,1,2,281.8249,24 04 21,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000016,2026/02/23,04 10 13 24 31 35,02,04 09 18 21 24 31,02,04 24 31,3,1,3,1,4,3-3,3-3,3-3,3-3,107,117,27,31,1,1,282.204,24 04 21,"main_good_hit,second_hit"
115000017,2026/02/26,03 19 27 30 37 38,02,09 11 18 20 21 30,02,30,1,1,1,1,2,3-3,4-2,3-3,2-4,109,154,21,35,2,2,281.2916,21 18 09,"main_one_hit,second_hit,sum_gap_large,spread_gap_large"
115000018,2026/03/02,07 09 11 23 25 29,05,08 09 11 18 20 21,02,09 11,2,0,2,0,2,3-3,6-0,4-2,3-3,87,104,13,22,2,1,282.6593,21 18 09,"second_miss,run_pattern_mismatch,odd_even_bias"
