target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000065,2025/08/14,01 11 14 17 19 36,03,03 07 09 18 20 38,04,,0,0,1,0,1,3-3,4-2,4-2,5-1,95,98,35,35,1,1,55.2041,38 07 09,"main_zero_hit,second_miss"
114000066,2025/08/18,02 05 08 17 20 26,06,01 07 09 18 20 38,04,20,1,0,1,0,1,3-3,2-4,4-2,4-2,93,78,37,24,2,1,54.5711,38 07 09,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,01 07 09 18 20 38,04,,0,0,0,0,0,3-3,2-4,4-2,6-0,93,64,37,17,2,2,53.976,20 38 07,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,01 07 09 18 20 38,02,01,1,0,1,0,1,3-3,3-3,4-2,3-3,93,121,37,36,2,2,53.245,20 38 07,"main_one_hit,second_miss,sum_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,01 07 09 18 20 38,02,09,1,0,1,0,1,3-3,4-2,4-2,4-2,93,106,37,21,2,2,52.6896,20 01 38,"main_one_hit,second_miss,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,01 07 09 14 20 38,02,07,1,0,2,0,2,3-3,2-4,4-2,4-2,89,100,37,27,2,2,52.3503,09 20 01,"main_one_hit,second_miss,spread_gap_large"
114000071,2025/09/04,06 07 09 11 21 38,08,01 02 07 09 18 20,04,07 09,2,0,3,0,3,3-3,4-2,5-1,4-2,57,92,19,32,2,2,52.8903,07 18 09,"second_miss,sum_gap_large,spread_gap_large"
114000072,2025/09/08,07 08 14 15 25 36,06,01 07 09 18 20 38,04,07,1,0,2,0,2,3-3,3-3,4-2,4-2,93,105,37,29,2,2,54.3123,07 09 38,"main_one_hit,second_miss"
114000073,2025/09/11,11 18 21 27 31 35,06,07 09 14 18 20 38,04,18,1,0,1,0,1,2-4,5-1,4-2,2-4,106,143,31,24,1,1,54.2997,07 09 38,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,07 09 14 18 21 38,04,38,1,0,2,0,2,3-3,1-5,4-2,2-4,107,145,31,34,1,2,54.2372,07 18 09,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000075,2025/09/18,10 20 25 28 32 36,02,07 09 16 18 20 38,02,20,1,1,1,1,2,2-4,1-5,4-2,1-5,108,151,31,26,1,1,55.0363,07 38 18,"main_one_hit,second_hit,low_high_bias,sum_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,07 09 18 20 36 38,02,,0,1,1,1,2,2-4,3-3,3-3,3-3,128,121,31,23,1,2,55.5667,07 20 38,"main_zero_hit,second_hit,run_pattern_mismatch"
114000077,2025/09/25,08 12 14 24 28 35,03,07 09 14 18 20 38,02,14,1,0,1,0,1,2-4,1-5,4-2,3-3,106,121,31,27,1,1,55.7175,07 20 38,"main_one_hit,second_miss"
114000078,2025/09/29,12 16 17 20 27 36,03,07 09 14 18 20 38,02,20,1,0,2,0,2,2-4,2-4,4-2,3-3,106,128,31,24,1,2,55.088,14 07 20,"main_one_hit,second_miss,run_pattern_mismatch"
114000079,2025/10/02,03 05 12 24 27 30,07,07 14 16 20 36 38,02,,0,0,0,0,0,1-5,3-3,3-3,3-3,131,101,31,27,1,1,55.5236,20 14 07,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
114000080,2025/10/06,05 06 09 14 15 37,05,07 12 14 16 20 36,02,14,1,0,1,0,1,1-5,4-2,4-2,5-1,105,86,29,32,1,2,54.3057,20 14 07,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,07 09 12 14 20 36,02,20,1,0,1,0,1,2-4,3-3,4-2,3-3,98,107,29,34,1,2,54.2544,14 20 09,"main_one_hit,second_miss,run_pattern_mismatch"
114000082,2025/10/13,04 06 08 18 24 28,01,07 09 12 14 20 36,02,,0,0,0,0,0,2-4,0-6,4-2,4-2,98,88,29,24,1,1,53.6687,20 14 09,"main_zero_hit,second_miss,odd_even_bias"
114000083,2025/10/16,08 09 13 16 26 35,02,07 09 12 14 18 20,02,09,1,1,1,1,2,2-4,3-3,5-1,4-2,80,107,13,27,1,2,52.6112,20 14 18,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000084,2025/10/20,08 12 19 22 24 32,05,08 09 14 16 18 20,02,08,1,0,2,0,2,1-5,1-5,5-1,3-3,85,117,12,24,2,1,53.9747,20 14 09,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000085,2025/10/23,05 09 11 21 32 35,08,08 09 12 14 16 20,02,09,1,0,1,0,1,1-5,5-1,5-1,3-3,79,113,12,30,2,1,54.0946,20 14 08,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000086,2025/10/27,01 11 16 20 27 36,06,08 09 11 12 14 20,02,11 20,2,0,3,0,3,2-4,3-3,5-1,3-3,74,111,12,35,2,1,53.6062,09 20 14,"second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000087,2025/10/30,13 14 17 20 21 24,02,08 09 11 14 16 20,02,14 20,2,1,2,1,3,2-4,3-3,5-1,3-3,78,109,12,11,2,2,54.745,20 09 11,"second_hit,low_high_bias,sum_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,08 09 11 14 16 20,02,20,1,0,1,0,1,2-4,1-5,5-1,2-4,78,139,12,31,2,1,56.1447,20 14 09,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000089,2025/11/06,11 18 20 25 29 37,08,09 11 14 16 18 20,02,11 18 20,3,0,3,0,3,2-4,4-2,5-1,2-4,88,140,11,26,1,1,55.6981,20 14 09,"main_good_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000090,2025/11/10,06 12 28 29 31 32,04,09 11 14 16 18 20,02,,0,0,1,0,1,2-4,2-4,5-1,2-4,88,138,11,26,1,2,57.0692,20 11 18,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000091,2025/11/13,02 09 11 15 26 34,04,09 11 12 14 18 20,02,09 11,2,0,2,0,2,2-4,3-3,5-1,4-2,84,97,11,32,2,1,55.775,20 11 18,"second_miss,run_pattern_mismatch,spread_gap_large"
114000092,2025/11/17,17 18 19 28 34 36,06,09 11 12 14 18 20,02,18,1,0,1,0,1,2-4,2-4,5-1,3-3,84,152,11,19,2,3,56.1437,20 11 09,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,09 11 12 14 18 20,02,20,1,0,1,0,1,2-4,4-2,5-1,3-3,84,114,11,32,2,1,55.5014,20 11 18,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000094,2025/11/24,07 09 19 20 33 34,07,08 09 11 18 20 35,02,09 20,2,0,2,0,2,3-3,4-2,4-2,3-3,101,122,27,27,2,2,55.1342,20 11 18,second_miss
114000095,2025/11/27,04 09 16 26 33 35,02,08 09 11 18 20 35,02,09 35,2,1,2,1,3,3-3,3-3,4-2,3-3,101,123,27,31,2,1,55.5221,20 09 11,"second_hit,run_pattern_mismatch"
114000096,2025/12/01,05 07 08 11 32 37,02,09 11 16 18 20 35,02,11,1,1,2,1,3,3-3,4-2,4-2,4-2,109,100,26,32,1,2,57.3425,20 09 11,"main_one_hit,second_hit,run_pattern_mismatch"
114000097,2025/12/04,03 06 07 10 29 33,01,08 09 11 18 20 35,02,,0,0,1,0,1,3-3,4-2,4-2,4-2,101,88,27,30,2,2,58.2335,20 09 11,"main_zero_hit,second_miss"
114000098,2025/12/08,05 14 15 20 32 37,02,07 09 11 18 20 35,02,20,1,1,1,1,2,4-2,3-3,4-2,3-3,100,123,28,32,1,2,56.7574,20 09 11,"main_one_hit,second_hit,run_pattern_mismatch"
114000099,2025/12/11,05 06 11 15 22 37,07,07 09 11 14 18 20,02,11,1,0,1,0,1,3-3,4-2,5-1,4-2,79,96,13,32,1,2,57.1773,20 09 11,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000100,2025/12/15,19 26 28 31 32 34,06,05 07 09 11 14 20,02,,0,0,0,0,0,4-2,2-4,5-1,1-5,66,170,15,15,1,2,56.746,20 11 09,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,05 07 09 11 20 32,02,,0,0,1,0,1,4-2,4-2,4-2,3-3,84,126,27,29,1,2,55.8706,20 11 09,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
