target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000065,2025/08/14,01 11 14 17 19 36,03,01 07 20 24 26 38,02,01,1,0,2,0,2,2-4,4-2,2-4,5-1,116,98,37,35,2,1,5.129,38 24 07,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias"
114000066,2025/08/18,02 05 08 17 20 26,06,03 07 20 24 35 38,05,20,1,0,1,0,1,3-3,2-4,2-4,4-2,127,78,35,24,1,1,5.0529,38 24 07,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,03 07 15 24 25 38,02,,0,1,1,1,1,4-2,2-4,3-3,6-0,112,64,35,17,2,2,4.9333,38 24 03,"main_zero_hit,second_hit,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,01 03 07 22 24 38,05,01,1,0,1,0,1,3-3,3-3,3-3,3-3,95,121,37,36,2,2,5.2222,38 24 03,"main_one_hit,second_miss,sum_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,04 07 15 24 35 38,04,,0,0,2,0,2,3-3,4-2,3-3,4-2,123,106,34,21,1,2,4.6132,38 24 07,"main_zero_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,03 06 07 20 24 38,02,07,1,0,2,1,2,2-4,2-4,3-3,4-2,98,100,35,27,2,2,5.5328,38 24 03,"main_one_hit,second_miss"
114000071,2025/09/04,06 07 09 11 21 38,08,03 06 07 19 24 38,02,06 07 38,3,0,3,0,3,3-3,4-2,4-2,4-2,97,92,35,32,2,2,5.2648,38 24 03,"main_good_hit,second_miss"
114000072,2025/09/08,07 08 14 15 25 36,06,03 07 14 24 35 38,04,07 14,2,0,2,0,2,3-3,3-3,3-3,4-2,121,105,35,29,1,2,4.867,24 03 38,"second_miss,run_pattern_mismatch"
114000073,2025/09/11,11 18 21 27 31 35,06,01 03 14 22 24 38,02,,0,0,1,0,1,2-4,5-1,3-3,2-4,102,143,37,24,2,1,5.1858,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,03 07 15 22 24 38,07,38,1,0,2,1,3,3-3,1-5,3-3,2-4,109,145,35,34,1,2,5.0418,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000075,2025/09/18,10 20 25 28 32 36,02,01 07 19 22 24 38,05,,0,0,1,1,1,3-3,1-5,3-3,1-5,111,151,37,26,2,1,5.8848,24 07 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,03 07 14 19 22 24,05,14 22,2,0,2,1,2,3-3,3-3,4-2,3-3,89,121,21,23,1,2,6.2278,24 03 07,"second_miss,run_pattern_mismatch,sum_gap_large"
