target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000065,2025/08/14,01 11 14 17 19 36,03,03 14 19 20 24 25,05,14 19,2,0,2,0,2,3-3,4-2,3-3,5-1,105,98,22,35,2,1,1831.4,03 14 24,"second_miss,run_pattern_mismatch,low_high_bias,spread_gap_large"
114000066,2025/08/18,02 05 08 17 20 26,06,03 07 10 17 24 38,01,17,1,0,1,0,1,3-3,2-4,4-2,4-2,99,78,35,24,1,1,1897.4,24 03 07,"main_one_hit,second_miss,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,03 07 15 16 22 26,07,16,1,0,2,0,2,3-3,2-4,4-2,6-0,89,64,23,17,2,2,1832.4,15 26 16,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,01 03 07 24 26 31,05,01,1,0,1,0,1,4-2,3-3,3-3,3-3,92,121,30,36,1,2,1906.4,03 24 31,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,07 10 19 22 24 38,01,,0,0,0,0,0,2-4,4-2,3-3,4-2,120,106,31,21,1,2,1863.4,22 38 07,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,03 12 15 16 19 38,05,16,1,0,1,0,1,3-3,2-4,5-1,4-2,103,100,35,27,2,2,1838.4,15 03 19,"main_one_hit,second_miss"
114000071,2025/09/04,06 07 09 11 21 38,08,03 04 14 15 19 24,02,,0,0,1,0,1,3-3,4-2,5-1,4-2,79,92,21,32,2,2,1872.4,03 14 19,"main_zero_hit,second_miss,spread_gap_large"
114000072,2025/09/08,07 08 14 15 25 36,06,03 08 15 19 24 38,08,08 15,2,0,2,0,2,3-3,3-3,4-2,4-2,107,105,35,29,1,2,1874.4,24 03 08,"second_miss,run_pattern_mismatch"
114000073,2025/09/11,11 18 21 27 31 35,06,04 07 22 24 26 38,07,,0,0,1,0,1,1-5,5-1,2-4,2-4,121,143,34,24,1,1,1922.4,04 24 07,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,03 04 14 17 24 25,07,04,1,0,2,0,2,3-3,1-5,4-2,2-4,87,145,22,34,2,2,1837.4,24 03 04,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
