target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000064,2025/08/11,03 05 09 16 18 19,02,01 07 09 20 22 38,04,09,1,0,2,0,2,3-3,4-2,3-3,6-0,97,70,37,16,2,2,53.0,38 07 20,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000065,2025/08/14,01 11 14 17 19 36,03,01 07 09 18 20 38,04,01,1,0,1,0,1,3-3,4-2,4-2,5-1,93,98,37,35,2,1,54.0,38 07 09,"main_one_hit,second_miss,run_pattern_mismatch"
114000066,2025/08/18,02 05 08 17 20 26,06,01 07 09 18 20 38,03,20,1,0,1,0,1,3-3,2-4,4-2,4-2,93,78,37,24,2,1,54.0,38 01 07,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,01 07 09 18 20 38,03,,0,0,0,0,0,3-3,2-4,4-2,6-0,93,64,37,17,2,2,53.0,38 01 20,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,01 07 18 20 22 38,02,01,1,0,1,0,1,2-4,3-3,3-3,3-3,106,121,37,36,2,2,53.0,38 01 20,"main_one_hit,second_miss"
114000069,2025/08/28,09 13 14 17 23 30,05,01 07 12 18 20 38,03,,0,0,0,0,0,2-4,4-2,4-2,4-2,96,106,37,21,2,2,54.0,01 38 20,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,01 07 09 12 20 38,03,07,1,0,2,0,2,3-3,2-4,4-2,4-2,87,100,37,27,2,2,53.0,38 01 20,"main_one_hit,second_miss,spread_gap_large"
114000071,2025/09/04,06 07 09 11 21 38,08,01 07 09 18 20 38,02,07 09 38,3,0,3,0,3,3-3,4-2,4-2,4-2,93,92,37,32,2,2,54.0,38 01 07,"main_good_hit,second_miss"
114000072,2025/09/08,07 08 14 15 25 36,06,01 07 09 18 20 38,02,07,1,0,2,0,2,3-3,3-3,4-2,4-2,93,105,37,29,2,2,56.0,07 38 01,"main_one_hit,second_miss"
114000073,2025/09/11,11 18 21 27 31 35,06,01 07 09 18 20 38,02,18,1,0,1,0,1,3-3,5-1,4-2,2-4,93,143,37,24,2,1,57.0,07 38 01,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,01 07 09 11 18 38,02,38,1,1,2,1,3,4-2,1-5,5-1,2-4,84,145,37,34,2,2,56.0,07 18 38,"main_one_hit,second_hit,odd_even_bias,low_high_bias,sum_gap_large"
114000075,2025/09/18,10 20 25 28 32 36,02,01 04 07 18 20 38,02,20,1,1,1,1,2,2-4,1-5,4-2,1-5,88,151,37,26,2,1,56.0,07 38 18,"main_one_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,01 04 07 18 20 38,02,,0,1,1,1,2,2-4,3-3,4-2,3-3,88,121,37,23,2,2,57.0,07 38 18,"main_zero_hit,second_hit,sum_gap_large,spread_gap_large"
114000077,2025/09/25,08 12 14 24 28 35,03,07 11 14 18 20 38,02,14,1,0,1,0,1,2-4,1-5,4-2,3-3,108,121,31,27,1,1,58.0,38 07 11,"main_one_hit,second_miss"
114000078,2025/09/29,12 16 17 20 27 36,03,07 11 14 18 20 38,02,20,1,0,1,0,1,2-4,2-4,4-2,3-3,108,128,31,24,1,2,58.0,07 14 38,"main_one_hit,second_miss,run_pattern_mismatch"
114000079,2025/10/02,03 05 12 24 27 30,07,01 07 14 20 36 38,02,,0,0,0,0,0,2-4,3-3,3-3,3-3,116,101,37,27,2,1,58.0,07 14 20,"main_zero_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000080,2025/10/06,05 06 09 14 15 37,05,07 11 14 16 20 38,02,14,1,0,1,0,1,2-4,4-2,4-2,5-1,106,86,31,32,1,2,54.0,14 07 20,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,07 09 14 16 18 38,02,,0,0,1,0,1,2-4,3-3,5-1,3-3,102,107,31,34,1,2,54.0,14 07 38,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias"
114000082,2025/10/13,04 06 08 18 24 28,01,07 09 11 14 16 20,02,,0,0,1,0,1,3-3,0-6,5-1,4-2,77,88,13,24,1,1,53.0,14 20 07,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
114000083,2025/10/16,08 09 13 16 26 35,02,04 07 11 14 18 20,02,,0,1,1,1,2,2-4,3-3,5-1,4-2,74,107,16,27,1,2,54.0,14 18 20,"main_zero_hit,second_hit,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000084,2025/10/20,08 12 19 22 24 32,05,04 07 09 14 16 18,02,,0,0,0,0,0,2-4,1-5,6-0,3-3,68,117,14,24,1,1,54.0,14 16 18,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000085,2025/10/23,05 09 11 21 32 35,08,04 08 12 14 16 18,02,,0,0,0,0,0,0-6,5-1,6-0,3-3,72,113,14,30,1,1,53.0,14 16 18,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000086,2025/10/27,01 11 16 20 27 36,06,04 08 09 11 16 18,02,11 16,2,0,2,0,2,2-4,3-3,6-0,3-3,66,111,14,35,2,1,51.0,16 18 04,"second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000087,2025/10/30,13 14 17 20 21 24,02,04 11 16 18 20 36,02,20,1,1,2,1,3,1-5,3-3,4-2,3-3,105,109,32,11,1,2,55.0,16 11 18,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,11 14 16 18 20 36,02,18 20,2,0,2,0,2,1-5,1-5,4-2,2-4,115,139,25,31,1,1,57.0,16 20 11,"second_miss,low_high_bias"
114000089,2025/11/06,11 18 20 25 29 37,08,04 11 14 16 18 20,02,11 18 20,3,0,3,0,3,1-5,4-2,5-1,2-4,83,140,16,26,1,1,56.0,16 20 11,"main_good_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000090,2025/11/10,06 12 28 29 31 32,04,08 11 14 16 18 20,02,,0,0,1,0,1,1-5,2-4,5-1,2-4,87,138,12,26,1,2,59.0,20 11 16,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000091,2025/11/13,02 09 11 15 26 34,04,08 11 14 16 18 20,02,11,1,0,2,0,2,1-5,3-3,5-1,4-2,87,97,12,32,1,1,57.0,20 11 14,"main_one_hit,second_miss,odd_even_bias,spread_gap_large"
114000092,2025/11/17,17 18 19 28 34 36,06,08 09 11 14 16 20,02,,0,0,1,0,1,2-4,2-4,5-1,3-3,78,152,12,19,2,3,56.0,11 20 14,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,08 09 11 14 18 20,02,08 20,2,0,2,0,2,2-4,4-2,5-1,3-3,80,114,12,32,2,1,56.0,11 20 14,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000094,2025/11/24,07 09 19 20 33 34,07,08 09 11 12 14 20,02,09 20,2,0,2,0,2,2-4,4-2,5-1,3-3,74,122,12,27,2,2,56.0,11 20 14,"second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
