target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000031,2025/04/17,01 02 03 05 17 27,08,03 04 14 15 24 38,02,03,1,0,1,0,1,2-4,5-1,4-2,5-1,98,55,35,26,2,3,1.1626,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000032,2025/04/21,05 09 20 29 35 36,08,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,4-2,4-2,2-4,98,134,35,31,2,2,1.1625,24 03 04,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000033,2025/04/24,07 17 25 29 36 37,05,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,5-1,4-2,2-4,98,151,35,30,2,2,1.1619,24 03 04,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000034,2025/04/28,02 14 17 19 29 32,05,03 04 14 15 24 38,02,14,1,0,1,0,1,2-4,3-3,4-2,4-2,98,113,35,30,2,1,1.1613,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch"
114000035,2025/05/01,14 19 20 25 27 30,04,03 04 14 15 24 38,02,14,1,0,1,0,1,2-4,3-3,4-2,2-4,98,135,35,16,2,2,1.1612,24 03 04,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000036,2025/05/05,07 08 09 11 19 35,04,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,5-1,4-2,5-1,98,89,35,28,2,3,1.1611,24 03 04,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000037,2025/05/08,05 08 09 17 31 37,01,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,5-1,4-2,4-2,98,107,35,32,2,2,1.1604,24 03 04,"main_zero_hit,second_miss,odd_even_bias"
114000038,2025/05/12,02 08 26 34 35 38,04,03 04 14 15 24 38,02,38,1,0,2,0,2,2-4,1-5,4-2,2-4,98,143,35,36,2,2,1.1598,24 03 04,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
114000039,2025/05/15,01 02 08 21 23 26,01,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,3-3,4-2,3-3,98,81,35,25,2,2,1.1597,24 03 04,"main_zero_hit,second_miss,spread_gap_large"
114000040,2025/05/19,10 15 22 27 29 37,03,03 04 14 15 24 38,02,15,1,0,2,0,2,2-4,4-2,4-2,2-4,98,140,35,27,2,1,1.1591,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
