draw_no,draw_date,number1,number2,number3,number4,number5,number6,special
115000159,2026/07/01,01,03,12,14,34,,
115000160,2026/07/02,01,06,08,13,30,,
115000161,2026/07/03,07,11,31,36,37,,
115000162,2026/07/04,02,10,15,31,37,,
115000163,2026/07/06,01,10,12,14,38,,
115000164,2026/07/07,09,21,24,27,34,,
115000165,2026/07/08,01,11,23,30,34,,
115000166,2026/07/09,18,22,28,35,37,,
115000167,2026/07/10,05,13,15,21,26,,
